<TM-472>	Motociclette Harley-Davidson
<TM-473>	Carosello <trasmissione televisiva>
<TM-474>	Nikita Sergeevič Hruščëv
<TM-475>	Cooperativa Popolare Saronnese
<TM-476>	Gipsoteca comunale di Cascina
<TM-477>	Le Rote <Calcata>
<TM-478>	Scuola normale superiore Centro archivistico
<TM-479>	José Yaque
<TM-480>	Giuseppina Paganini
<TM-481>	Andreina Paganini
<TM-482>	Vigna Orsini <Bracciano>
<TM-483>	Anselmo Baroni
<TM-484>	Verso la foce
<TM-485>	Collezione Carlo Palli
<TM-486>	Marco Goldoni
<TM-487>	Francesco Aringhieri
<TM-488>	In Parmenidem
<TM-489>	Filippetto De Marinis
<TM-490>	Daniele Mastai
<TM-491>	De immenso et innumerabilibus
<TM-492>	Paolo Cherubino
<TM-493>	Massimo Gardone
<TM-494>	Collezione Teopisto Strolin
<TM-495>	Maria Pia Marchese
<TM-496>	Arturo Collodel
<TM-497>	Archivio Savardo
<TM-498>	Collectiones medicamentorum
<TM-499>	Marco Introini
<TM-500>	Automation Materialien zur Beurteilung der ökonomischen und sozialen Folgen
<TM-501>	Facoltà di diritto canonico San Pio X
<TM-502>	Caterina Vassalini
<TM-503>	Descriptio orbis Romani
<TM-504>	Piero Rossano
<TM-505>	Mark E. Kleckner
<TM-506>	Demetrio Naranzi
<TM-507>	Michele Bettega
<TM-508>	Centro educativo italo-svizzero
<TM-509>	Indiani osage
<TM-510>	Luigi Pasquini
<TM-511>	Adriana Capocci Belmonte
<TM-512>	Silvia Bazzocchi
<TM-513>	Thierry Roze
<TM-514>	Indiani yanoama
<TM-515>	Eugenio Volpicelli
<TM-516>	Palazzo Sermonti <Imola>
<TM-517>	Ordrupgaardsamlingen
<TM-518>	Emilia Belzoppi
<TM-519>	Ente Olivieri
<TM-520>	Biennale disegno Rimini
<TM-521>	Società di studi romagnoli
<TM-522>	Francesco Sottosanti
<TM-523>	Sala dei Mosaici
<TM-524>	Guiccioli <famiglia>
<TM-525>	Italo-americani
<TM-526>	Anita Sangiorgi
<TM-527>	Willie Maxwell <sacerdote>
<TM-528>	Collezione saussuriana
<TM-529>	Exercicios espirituales para vencer a sì mismo
<TM-530>	Eschimesi
<TM-531>	Tribunale per i minorenni di Reggio Calabria
<TM-532>	Fondazione Betania onlus
<TM-533>	Maria di Capodacqua
<TM-534>	Gerolamo Rizzo
<TM-535>	Gregotti e associati <studio di architettura>
<TM-536>	Palazzo Franciosoni <Vetralla>
<TM-537>	Associazione nazionale combattenti <Viterbo>
<TM-538>	Dipartimento di studi linguistico-letterari storico filosofici e giuridici
<TM-539>	Abbazia di San Domenico Abate
<TM-540>	Viaggiatori stanieri
<TM-541>	Pierre Riviére
<TM-542>	Collegamento lesbiche italiane
<TM-543>	Mauro Morandi
<TM-544>	Casa di reclusione Livorno Gorgona
<TM-545>	Leggi o incidentale di costituzionalità
<TM-546>	Sergio Magrini
<TM-547>	Centro diurno Arya
<TM-548>	Alvarez De Castro <famiglia>
<TM-549>	Fabrizio Ravaglioli
<TM-550>	De Balliro <famiglia>
<TM-551>	Carlo Storni
<TM-552>	Studio Metaimago
<TM-553>	Fondo M-9
<TM-554>	Rosselli <famiglia>
<TM-555>	Gian Enzo Sperone
<TM-556>	Archivio Luigi Pirandello
<TM-557>	Francesco Rose
<TM-558>	Lorenzo Fortunati
<TM-559>	Archivio Storico Giancarlo Spizzichino
<TM-560>	Caetani <famiglia>
<TM-561>	Fondo Nove Ufficiali dell'ordinanza e milizia fiorentina
<TM-562>	Andrea Jemolo
<TM-563>	Associazione arte e spiritualità
<TM-564>	Centro studi Paolo VI sull’arte moderna e contemporanea
<TM-565>	Nicola Toce
<TM-566>	Suchard <azienda>
<TM-567>	Paolo Maria Bonaparte
<TM-568>	Parco archeologico dell'Appia Antica <Roma>
<TM-569>	Maria Sofia Corciulo
<TM-570>	Marianna Prampolini
<TM-571>	Disegno nuovo di Roma moderna
<TM-572>	Alberto Terenzio
<TM-573>	Confraternita di Sant'Anna <Roma>
<TM-574>	Casa Museo dell'Antiquariato Ivan Bruschi
<TM-575>	Petrarca Haus <Colonia>
<TM-576>	Invito a pranzo
<TM-577>	Parrocchia di San Pietro in Gersolè
<TM-578>	Storia ecclesiastica della città e Diocesi di Grosseto scritta da Francesco Anichini sanese
<TM-579>	Centro romantico
<TM-580>	Nicoletta Gemignani
<TM-581>	Massimo Tosi
<TM-582>	Marco Sterpos
<TM-583>	Rampe del Poggi <Firenze>
<TM-584>	Cinema Universale
<TM-585>	Antonio Zanfarino
<TM-586>	Fausto Pagliari
<TM-587>	Fondazione Ezio Franceschini
<TM-588>	Mannelli <famiglia>
<TM-589>	Historiae. L.
<TM-590>	Associazione nazionale docenti universitari
<TM-591>	Sala del Risorgimento
<TM-592>	Walter Sardonini
<TM-593>	Gherardo Micheli
<TM-594>	Entwurff einer historischen Architectur
