<http://viaf.org/viaf/90388056>	Ada Montellanico
<http://viaf.org/viaf/232649073>	Ada Moricca Caputi
<http://viaf.org/viaf/73891042>	Ada Negri
<http://viaf.org/viaf/4841010>	Ada Patrizia Fiorillo
<http://viaf.org/viaf/48117510>	Ada Trombetta
<http://viaf.org/viaf/25304013>	Ada Vigliani
<http://viaf.org/viaf/7407628>	Ada Yardeni
<http://viaf.org/viaf/72091582>	Adachiara Zevi
<http://viaf.org/viaf/64013049>	Adalbert de Vogüé
<http://viaf.org/viaf/13087454>	Adalbert Gertscher
<http://viaf.org/viaf/39400384>	Adalbert Gyrowetz
<http://viaf.org/viaf/19678605>	Adalbert Hamman
<http://viaf.org/viaf/30100205>	Adalbert Metzinger
<http://viaf.org/viaf/22149114>	Adalbert Stifter
<http://viaf.org/viaf/37685134>	Adalbert Wahl
<http://viaf.org/viaf/1336567>	Adalberto Albamonte
<http://viaf.org/viaf/46787117>	Adalberto Baldoni
<http://viaf.org/viaf/89111191>	Adalberto Catena
<http://viaf.org/viaf/304915989>	Adalberto di Savoia-Genova
<http://viaf.org/viaf/166159474191027661919>	Adalberto II d'Ivrea
<http://viaf.org/viaf/59883492>	Adalberto Libera
<http://viaf.org/viaf/71553616>	Adalberto Mainardi
<http://viaf.org/viaf/309149106045268490992>	Adalberto Maria Merli
<http://viaf.org/viaf/120734313>	Adalberto Minucci
<http://viaf.org/viaf/279488418>	Adalberto Orsatti
<http://viaf.org/viaf/80706626>	Adalberto Orsatti
<http://viaf.org/viaf/68148649>	Adalberto Sisti
<http://viaf.org/viaf/977150323913409972245>	Adalgisa Battistelli
<http://viaf.org/viaf/82715812>	Adalgisa De Simone
<http://viaf.org/viaf/296396673>	Adalgisa Gabbi
<http://viaf.org/viaf/68959822>	Adalgisa Lugli
<http://viaf.org/viaf/13645363>	Adalgiso Amendola
<http://viaf.org/viaf/27232438>	Adalgiso Amendola
<http://viaf.org/viaf/84182060>	Ádám Bodor
<http://viaf.org/viaf/69721022>	Adam Contzen
<http://viaf.org/viaf/14870221>	Adam D. Weinberg
<http://viaf.org/viaf/86885965>	Adam de la Halle
<http://viaf.org/viaf/89199516>	Adam de Wodeham
<http://viaf.org/viaf/101788827>	Adam Dubin
<http://viaf.org/viaf/29870997>	Adam Ehrentreich
<http://viaf.org/viaf/4434151051949833530006>	Adam Ferguson
<http://viaf.org/viaf/49279367>	Adam Ferguson
<http://viaf.org/viaf/1255176>	Adam Fergusson
<http://viaf.org/viaf/22504436>	Adam Fischer
<http://viaf.org/viaf/85440310>	Ádám Fischer
<http://viaf.org/viaf/59428796>	Adam Friedrich von Glafey
<http://viaf.org/viaf/84697472>	Adam Gopnik
